date=Sat Jan 24 09:26:40 CST 2026
pwd=/Users/sbplab/jiawei/pg-ltr-frame-byol-worktree/worktrees/exp-interspeech-GRU2
OUT_DIR=results/rtgomp_lambda_cost_E4j_speech_stopwsweep_warmstart_stepwise_freezebn_lr1e-3_ep15_stopw0p020_20260124_092640
MODEL_DIR=results/rtgomp_lambda_cost_E4j_speech_stopwsweep_warmstart_stepwise_freezebn_lr1e-3_ep15_stopw0p020_20260124_092640/model
data_path=results/rtgomp_lambda_cost_E4j_speech_penaltyomp_data_stride128_clips12_20260124_011128/data/lag_trajectories.pt
init_ckpt=results/rtgomp_lambda_cost_E4c_stopstatefix_ratio3_20260121_030820/model/dt_freq_aware_best.pth
lambda_grid=1e-5,3e-5,1e-4,2e-4,3e-4
stop_weight=0.020
CMD: MPLCONFIGDIR=/tmp/mpl PYTHONPATH=. conda run -n trl-training python -u scripts/h_exploration/train_dt_lag_seq_rtg.py       --data_path results/rtgomp_lambda_cost_E4j_speech_penaltyomp_data_stride128_clips12_20260124_011128/data/lag_trajectories.pt       --out_dir results/rtgomp_lambda_cost_E4j_speech_stopwsweep_warmstart_stepwise_freezebn_lr1e-3_ep15_stopw0p020_20260124_092640/model       --init_ckpt results/rtgomp_lambda_cost_E4c_stopstatefix_ratio3_20260121_030820/model/dt_freq_aware_best.pth       --freeze_backbone       --train_stepwise_eval       --stop_weight 0.020       --epochs 15 --batch_size 256 --lr 1e-3       --freq_range 39,385       --rtg_dim 2 --rtg_mode lambda_cost --lambda_c_values 1e-5,3e-5,1e-4,2e-4,3e-4       --rtg1_mode max_k --rtg1_max_k 16       --use_stop_action --seed 0
INFO:__main__:Using device: cpu
INFO:__main__:Loading sequence data with RTG from results/rtgomp_lambda_cost_E4j_speech_penaltyomp_data_stride128_clips12_20260124_011128/data/lag_trajectories.pt...
INFO:__main__:Loaded 39790 variable-length sequences. Feature dim: 101
INFO:__main__:Warm-start: loading init checkpoint: results/rtgomp_lambda_cost_E4c_stopstatefix_ratio3_20260121_030820/model/dt_freq_aware_best.pth
INFO:__main__:Warm-start: init checkpoint loaded successfully.
INFO:__main__:Freeze backbone: trainable_params=6/21 (rtg_embed + head).
INFO:__main__:Using class weights: stop_id=101 stop_weight=0.0200
INFO:__main__:Epoch 1: Train Loss=6.0727, Val Loss=4.3209, Acc=0.1137
INFO:__main__:Epoch 2: Train Loss=4.2427, Val Loss=4.1794, Acc=0.1192
INFO:__main__:Epoch 3: Train Loss=4.1636, Val Loss=4.1253, Acc=0.1233
INFO:__main__:Epoch 4: Train Loss=4.1160, Val Loss=4.0833, Acc=0.1275
INFO:__main__:Epoch 5: Train Loss=4.0779, Val Loss=4.0502, Acc=0.1307
INFO:__main__:Epoch 6: Train Loss=4.0475, Val Loss=4.0226, Acc=0.1326
INFO:__main__:Epoch 7: Train Loss=4.0213, Val Loss=3.9998, Acc=0.1344
INFO:__main__:Epoch 8: Train Loss=3.9988, Val Loss=3.9797, Acc=0.1361
INFO:__main__:Epoch 9: Train Loss=3.9798, Val Loss=3.9633, Acc=0.1381
INFO:__main__:Epoch 10: Train Loss=3.9632, Val Loss=3.9478, Acc=0.1394
INFO:__main__:Epoch 11: Train Loss=3.9470, Val Loss=3.9345, Acc=0.1409
INFO:__main__:Epoch 12: Train Loss=3.9335, Val Loss=3.9213, Acc=0.1426
INFO:__main__:Epoch 13: Train Loss=3.9195, Val Loss=3.9092, Acc=0.1441
INFO:__main__:Epoch 14: Train Loss=3.9070, Val Loss=3.8976, Acc=0.1461
INFO:__main__:Epoch 15: Train Loss=3.8969, Val Loss=3.8871, Acc=0.1463

